District,Year,Quarter,Transaction_Count,Transaction_Amount
bengaluru urban,2018,1,8306513,14162750303.06484
pune,2018,1,3842929,5378982326.835919
central delhi,2018,1,2997714,4312145216.274474
mumbai,2018,1,2671029,3923116793.952079
chennai,2018,1,2656230,4281137762.522443
hyderabad,2018,1,2545507,4287223789.76588
jaipur,2018,1,2417174,2953086960.1413727
birbhum,2018,1,2125816,2520486412.452376
kolkata,2018,1,2043129,2753347660.1429114
bhopal,2018,1,1704495,1905473874.8326716
bengaluru urban,2018,2,11916035,23824727965.49048
pune,2018,2,5162876,8513428062.925206
chennai,2018,2,3719593,7305357440.752291
central delhi,2018,2,3589206,6223466821.092629
mumbai,2018,2,3277612,6048515205.760132
jaipur,2018,2,3175255,4952882923.415596
hyderabad,2018,2,3156805,6628159910.681627
birbhum,2018,2,2775489,3988930679.767912
kolkata,2018,2,2501448,4109821729.8900533
north twenty four parganas,2018,2,2119664,2509379355.091834
bengaluru urban,2018,3,18405424,33812835282.27632
central delhi,2018,3,8165361,10515884583.426525
pune,2018,3,7890491,12601613622.467594
birbhum,2018,3,6066238,6130627463.516832
chennai,2018,3,5887343,10122319547.137985
hyderabad,2018,3,5786941,9503554478.108147
khordha,2018,3,5333443,4389717266.977921
bankura,2018,3,5179457,2464193070.534754
jaipur,2018,3,4954443,7882149494.55468
north twenty four parganas,2018,3,4856114,4545902671.152222
bengaluru urban,2018,4,33061353,50279165003.07312
pune,2018,4,11075153,18048884123.019886
central delhi,2018,4,9373395,13878492766.290386
hyderabad,2018,4,9360515,14727846731.548256
chennai,2018,4,8007699,14632395110.56675
jaipur,2018,4,7271209,12107341570.492035
gautam buddha nagar,2018,4,6083056,7483532543.63562
mumbai,2018,4,6060284,11506143747.453331
rangareddy,2018,4,5803319,9396311751.227482
kolkata,2018,4,5401244,8502095208.881001
bengaluru urban,2019,1,65174133,82111161572.76288
hyderabad,2019,1,24838664,34892156029.40753
pune,2019,1,23360634,32233517413.825317
jaipur,2019,1,19178441,25043540802.372772
rangareddy,2019,1,12952050,17677048557.63253
central delhi,2019,1,12885975,16258175800.83931
chennai,2019,1,11642449,18810971714.51368
gautam buddha nagar,2019,1,10750094,10286434896.5461
medchal malkajgiri,2019,1,10127087,13392043971.075241
new delhi,2019,1,10000765,13939472234.96883
bengaluru urban,2019,2,89148659,113389910485.89922
pune,2019,2,44795652,58398808592.1738
hyderabad,2019,2,43511186,73949377453.0185
jaipur,2019,2,27449382,46056907216.76753
new delhi,2019,2,23313548,36146671717.918365
rangareddy,2019,2,16348519,25359412038.382965
patna,2019,2,13421445,26125484618.416542
khordha,2019,2,13339889,19006076643.493904
kolkata,2019,2,13259522,17260848900.77318
lucknow,2019,2,12624404,22426462674.94428
bengaluru urban,2019,3,131234422,150244275641.79712
pune,2019,3,67093416,78128868958.39702
hyderabad,2019,3,55159072,96365182751.25804
jaipur,2019,3,36334520,58402103360.67965
new delhi,2019,3,24687138,43288057341.92169
rangareddy,2019,3,23655175,33663962263.155968
khordha,2019,3,18364742,25509656902.49331
medchal malkajgiri,2019,3,17492750,23256556346.306458
visakhapatnam,2019,3,16694947,26944837120.046288
kolkata,2019,3,16306691,21451201632.248753
bengaluru urban,2019,4,180458808,199966708446.8142
pune,2019,4,91666565,103270644868.1607
hyderabad,2019,4,72987282,130230415629.3025
jaipur,2019,4,44335592,81782144762.48987
rangareddy,2019,4,31237803,44757331443.568375
new delhi,2019,4,29048107,54398427887.76768
khordha,2019,4,27477393,34227232121.528633
visakhapatnam,2019,4,23594874,39133296330.044624
medchal malkajgiri,2019,4,22999944,31417907129.793076
kolkata,2019,4,21917627,26475748918.32508
bengaluru urban,2020,1,200174352,231970686013.7528
pune,2020,1,107497963,119146177775.3236
hyderabad,2020,1,94177232,183207208610.81787
jaipur,2020,1,52623661,98360847993.80875
rangareddy,2020,1,31802492,45881228273.95146
visakhapatnam,2020,1,27115031,48809747614.678894
medchal malkajgiri,2020,1,25458101,37404467180.931694
central delhi,2020,1,24757650,41219414205.0607
mumbai suburban,2020,1,23598054,40462122569.6479
khordha,2020,1,23152370,39755139238.6053
bengaluru urban,2020,2,132120979,176357097466.7659
pune,2020,2,58840981,94890914730.75931
hyderabad,2020,2,56374644,130820061488.30273
jaipur,2020,2,43871862,88270816977.90562
visakhapatnam,2020,2,25300401,48293889917.41437
rangareddy,2020,2,18068048,31273545586.261536
medchal malkajgiri,2020,2,17860704,29732057894.607735
central delhi,2020,2,17641823,30418597739.3527
khordha,2020,2,16842715,34814877058.416145
ahmadabad,2020,2,16430916,32731896547.150326
bengaluru urban,2020,3,188947684,261095181780.0901
pune,2020,3,101472134,154366363808.0403
hyderabad,2020,3,99285803,228448742377.47607
jaipur,2020,3,71797182,138189424031.4575
visakhapatnam,2020,3,34421299,67628440368.111465
central delhi,2020,3,32203761,61527717933.93762
rangareddy,2020,3,29573243,51787722036.044556
bhopal,2020,3,29560361,57525605025.512215
medchal malkajgiri,2020,3,28698311,48831695001.78223
khordha,2020,3,23387123,44638448273.52248
bengaluru urban,2020,4,267720411,352536741958.4486
pune,2020,4,142350762,182511549425.14316
hyderabad,2020,4,117008707,243045184188.2821
jaipur,2020,4,82378485,159641718978.41748
rangareddy,2020,4,53405219,89256130453.08658
medchal malkajgiri,2020,4,49900746,81801106073.41168
visakhapatnam,2020,4,46551467,91879823025.40399
bhopal,2020,4,38492334,67905952477.88091
central delhi,2020,4,32194168,61575435521.28284
mumbai suburban,2020,4,31947471,52567087497.07483
bengaluru urban,2021,1,348712787,432401341231.7671
pune,2021,1,208930588,253623629237.65796
hyderabad,2021,1,169703372,316572388133.7874
jaipur,2021,1,125917532,223771205713.25284
bhopal,2021,1,67309234,101725720745.41443
rangareddy,2021,1,60675056,98883148961.30931
medchal malkajgiri,2021,1,54854446,87516738646.29623
central delhi,2021,1,54173342,90711721159.77658
mumbai suburban,2021,1,49079788,75911506798.24135
visakhapatnam,2021,1,48248923,95308386037.8472
bengaluru urban,2021,2,326804307,444422398357.67755
pune,2021,2,218732925,298657497266.993
hyderabad,2021,2,212326623,424872741465.13696
jaipur,2021,2,137247139,248390977964.5579
bhopal,2021,2,74643630,127038866031.39793
rangareddy,2021,2,63155281,113987187628.93881
central delhi,2021,2,62131856,100895875737.76093
medchal malkajgiri,2021,2,58755991,102864360004.68025
visakhapatnam,2021,2,54390299,114439012713.35336
patna,2021,2,53400850,114936398151.99364
bengaluru urban,2021,3,476485560,626123198813.8513
pune,2021,3,303322956,372243656247.4718
hyderabad,2021,3,262028284,479343321365.3726
jaipur,2021,3,193839196,313664435689.29987
bhopal,2021,3,103403998,146735124186.2163
central delhi,2021,3,88849847,137311394953.58371
rangareddy,2021,3,87884143,147772047919.14047
medchal malkajgiri,2021,3,79514766,130838255095.6952
khordha,2021,3,71647985,108452202806.23244
visakhapatnam,2021,3,69220981,136945652159.26515
bengaluru urban,2021,4,584958847,755926042210.8081
pune,2021,4,371337618,454584743765.05554
hyderabad,2021,4,325636475,582079170534.0186
jaipur,2021,4,231804892,394435778364.0141
bhopal,2021,4,134176541,190196223229.17587
rangareddy,2021,4,111354739,188838966046.13513
central delhi,2021,4,111134916,177625511230.04297
medchal malkajgiri,2021,4,98780634,164568262330.06238
khordha,2021,4,94505879,135122128258.68542
mumbai suburban,2021,4,92733033,134616103622.6073
bengaluru urban,2022,1,648380838,837938769153.0938
pune,2022,1,424149132,508475101454.5797
hyderabad,2022,1,372711414,661512502141.0775
jaipur,2022,1,262950613,434507898653.22876
bhopal,2022,1,159892411,221096758835.27948
central delhi,2022,1,128309915,198072597274.588
rangareddy,2022,1,127675017,216609881380.40106
medchal malkajgiri,2022,1,110893187,185168270983.38605
mumbai suburban,2022,1,104595313,148080835860.6061
khordha,2022,1,104052705,152745328927.4852
bengaluru urban,2022,2,786978117,1013933810932.2711
pune,2022,2,520321567,620747087392.5974
hyderabad,2022,2,446470234,775908693266.7238
jaipur,2022,2,314511010,497492495896.22046
bhopal,2022,2,185588829,255910395858.58392
rangareddy,2022,2,161888380,267052522620.51453
central delhi,2022,2,159034619,232911858055.0848
medchal malkajgiri,2022,2,134114768,221257316347.71973
mumbai suburban,2022,2,125227570,172590494011.93738
khordha,2022,2,124986765,174299128204.99298
hyderabad,2022,3,1018658174,1586047443981.7903
bengaluru urban,2022,3,738035161,930886457807.8191
pune,2022,3,505018506,549531791371.8348
jaipur,2022,3,377469909,564818218571.2906
central delhi,2022,3,243139962,327191972497.86694
mumbai suburban,2022,3,197724164,247678975470.48975
patna,2022,3,188665398,298860414441.2887
khordha,2022,3,182514532,234713995654.54218
chhindwara,2022,3,169367916,236429180484.7117
rangareddy,2022,3,169029273,272598081405.12262
hyderabad,2022,4,1133829812,1753799022390.8733
bengaluru urban,2022,4,876647100,1092079302011.8888
pune,2022,4,544687754,590334491443.0927
jaipur,2022,4,404922774,635458549842.8215
central delhi,2022,4,280960656,386107883617.5307
mumbai suburban,2022,4,248827345,310278216439.5166
chhindwara,2022,4,245710341,350638062974.85736
patna,2022,4,217434851,352393762150.454
khordha,2022,4,208260666,268479766618.40594
rangareddy,2022,4,191136402,295773661437.69385
bengaluru urban,2023,1,1012347596,1167307214747.0
pune,2023,1,505841046,489824129517.0
rangareddy,2023,1,329344012,487359310308.0
hyderabad,2023,1,286887382,415188829698.0
medchal malkajgiri,2023,1,256028955,382423152200.0
jaipur,2023,1,250101628,383391511211.0
visakhapatnam,2023,1,164358781,277211090180.0
thane,2023,1,142097640,164652846524.0
gurugram,2023,1,139674963,149429170153.0
gautam buddha nagar,2023,1,130607154,135979906082.0
bengaluru urban,2023,2,1124713207,1308665877658.0
pune,2023,2,554427668,535801107518.0
rangareddy,2023,2,384456496,561147925919.0
hyderabad,2023,2,328016262,467328236325.0
medchal malkajgiri,2023,2,296231089,434043629718.0
jaipur,2023,2,291245541,414094307123.0
visakhapatnam,2023,2,184918179,303874597259.0
gurugram,2023,2,168827725,167788722810.0
gautam buddha nagar,2023,2,157681545,150948217823.0
thane,2023,2,155714593,178939371434.0
bengaluru urban,2023,3,1298080873,1442850468373.0
pune,2023,3,625390706,593994260196.0
rangareddy,2023,3,439381886,615864362548.0
hyderabad,2023,3,371834420,505153023373.0
jaipur,2023,3,342432937,452155901967.0
medchal malkajgiri,2023,3,341559058,477958010169.0
visakhapatnam,2023,3,209884966,328927220951.0
gurugram,2023,3,188985975,179654213171.0
gautam buddha nagar,2023,3,180450033,164910883457.0
thane,2023,3,170404523,188843145118.0
bengaluru urban,2023,4,1345789742,1497515119439.0
pune,2023,4,673819127,639679187750.0
rangareddy,2023,4,460487052,647241284036.0
hyderabad,2023,4,388720083,532414580487.0
jaipur,2023,4,364600665,506659281364.0
medchal malkajgiri,2023,4,362103399,502048775975.0
visakhapatnam,2023,4,223584765,344512874812.0
gurugram,2023,4,200753426,196708697020.0
thane,2023,4,192539402,209015388352.0
gautam buddha nagar,2023,4,192419424,180306500632.0
bengaluru urban,2024,1,1410557938,1530943099565.0
pune,2024,1,733071386,673821354148.0
rangareddy,2024,1,488047529,658571093582.0
jaipur,2024,1,417960026,559737992837.0
hyderabad,2024,1,402314318,527685058004.0
medchal malkajgiri,2024,1,380041109,499878493547.0
visakhapatnam,2024,1,238418938,363341573689.0
gurugram,2024,1,220314122,209018505349.0
gautam buddha nagar,2024,1,214720949,194154342486.0
indore,2024,1,204031251,225074399956.0
bengaluru urban,2024,2,1497173080,1626460643067.0
pune,2024,2,774940848,703288284286.0
rangareddy,2024,2,539561247,707566316827.0
jaipur,2024,2,473991132,581415499446.0
hyderabad,2024,2,435136278,550918208821.0
medchal malkajgiri,2024,2,416369023,532889975847.0
gurugram,2024,2,267480541,231403496054.0
gautam buddha nagar,2024,2,265595986,216594147530.0
visakhapatnam,2024,2,260339876,378402015204.0
indore,2024,2,224896033,239315772788.0
bengaluru urban,2024,3,1631451937,1750492470314.0
pune,2024,3,839977058,761109455466.0
rangareddy,2024,3,577835181,738052396062.0
medchal malkajgiri,2024,3,501688745,624450298660.0
hyderabad,2024,3,465828755,570267006787.0
jaipur,2024,3,392547155,435623980901.0
gautambuddha nagar,2024,3,291856209,236884974417.0
gurugram,2024,3,291583503,249171079828.0
indore,2024,3,243877173,252129873604.0
thane,2024,3,232855213,237163270363.0
bengaluru urban,2024,4,1674347983,1790144192589.0
pune,2024,4,900035103,817012243191.0
rangareddy,2024,4,616593580,775467300648.0
medchal malkajgiri,2024,4,534184945,651550001586.0
hyderabad,2024,4,497079422,601741671786.0
jaipur,2024,4,419541051,484830515848.0
gautambuddha nagar,2024,4,308036927,255133255191.0
gurugram,2024,4,301187458,265842877273.0
indore,2024,4,264106034,277132973152.0
thane,2024,4,260133540,262082431087.0
