Pincode,Year,Quarter,Transaction_Count,Transaction_Amount
560001,2018,1,2917356,4684262246.184548
110006,2018,1,2636324,3714139312.238586
400008,2018,1,2227885,3105208723.475169
600003,2018,1,2010196,2997847000.265506
731101,2018,1,1764956,2366771285.7278423
700009,2018,1,1390629,1851145374.4001179
411001,2018,1,1055656,1413523605.5956619
500012,2018,1,933013,1643061976.4262943
462001,2018,1,832846,898730606.684653
201301,2018,1,690196,987613438.9540119
560001,2018,2,3777086,7545089760.607167
110006,2018,2,3069733,5237594871.124264
600003,2018,2,2771900,5194488793.022476
400008,2018,2,2631405,4703762207.003538
731101,2018,2,2134258,3697928407.603048
700009,2018,2,1473202,2566583723.725673
411001,2018,2,1316115,2145613783.5507011
500012,2018,2,1024336,2257038218.1929708
201301,2018,2,971854,1673280979.3831716
462001,2018,2,928983,1443626493.1959715
110006,2018,3,7198882,9029499185.157822
560001,2018,3,5764203,10161197002.295376
600003,2018,3,4430587,7070098756.153783
400008,2018,3,3111609,5436005565.19679
731101,2018,3,2644866,4429377129.783087
700009,2018,3,2531420,3555553312.5767612
500012,2018,3,1726388,3077635699.337487
411001,2018,3,1689517,2829639683.4067717
221001,2018,3,1439623,671779876.5266988
201301,2018,3,1438458,2181626866.4046803
560001,2018,4,7725284,14030425393.295612
110006,2018,4,7532374,11605568511.039162
600003,2018,4,5539392,10066365923.24963
400008,2018,4,4586309,8474903607.1238575
731101,2018,4,3284268,5847016363.011223
700009,2018,4,2939284,4991163446.523161
500012,2018,4,2576408,4841883809.168822
201301,2018,4,2504916,3217987818.841588
411001,2018,4,2176631,3917444399.4306126
560068,2018,4,1630650,1941175277.185885
560001,2019,1,16241340,23597361226.512825
110006,2019,1,10251048,13201959766.05106
500012,2019,1,9957548,15399177052.931395
600003,2019,1,8217185,12799152324.27052
110011,2019,1,6689740,9632804730.117004
400008,2019,1,6494529,10238553958.763014
700009,2019,1,6353573,7885002278.529919
411006,2019,1,5641935,9202990658.018358
302001,2019,1,4954219,7600396570.221162
201301,2019,1,4596696,4223121104.413077
560001,2019,2,27169035,40026681539.0066
500012,2019,2,23303184,42709920754.79193
411006,2019,2,22544991,34073354893.758354
110011,2019,2,20001452,31366326747.68567
302001,2019,2,14130072,26047079270.71371
700009,2019,2,9694969,12068405239.946836
800015,2019,2,9362673,19331794343.882797
226004,2019,2,8966947,16438621373.818607
751002,2019,2,8318660,12733845249.989027
600003,2019,2,6992850,13700604318.48539
560001,2019,3,34182229,49823702321.09828
500012,2019,3,27360144,55516914964.120514
411006,2019,3,25995035,42031275308.282005
110011,2019,3,20159577,36968948004.60185
302001,2019,3,15037317,31903765546.790287
700009,2019,3,11494363,14573984421.133255
751002,2019,3,9990982,16300297217.157505
800015,2019,3,8554034,21451659382.23745
400008,2019,3,7234595,14467758895.186302
226004,2019,3,6687157,17110382946.6282
560001,2019,4,48600127,67204107791.7798
411006,2019,4,32779718,51360244641.273315
500012,2019,4,32637373,67244225971.71475
110011,2019,4,22861243,44827058149.79611
302001,2019,4,17153003,41220743922.1253
700009,2019,4,16310685,18429094743.25623
751002,2019,4,13743261,19669451911.7042
400008,2019,4,10498727,22289347327.905037
800015,2019,4,10441675,26228173437.46787
600003,2019,4,10008230,21375916666.727257
500001,2020,1,63671159,139394865595.49792
560001,2020,1,57330889,81134886975.52737
411004,2020,1,43278566,64894935103.99599
302016,2020,1,24180734,56174137377.66255
110006,2020,1,19881142,34803706848.31907
600003,2020,1,14352747,29310364582.884754
110001,2020,1,13167147,27716426760.692245
700009,2020,1,13084249,24503076745.659294
751001,2020,1,11782987,25543182753.84958
400070,2020,1,10817537,21066837485.651253
500001,2020,2,39752686,101961882246.87434
560001,2020,2,38973791,66590268182.415665
411004,2020,2,27617700,58352702890.56202
302016,2020,2,22032140,53610675078.51194
110006,2020,2,14401400,26006450222.981194
110001,2020,2,9780539,21370003546.27849
800001,2020,2,9603835,29875811977.924408
751001,2020,2,9411361,23813152297.287315
600003,2020,2,8641869,22394007817.575096
380001,2020,2,8490730,21210698645.19712
500001,2020,3,70732132,177532009421.7673
560001,2020,3,56516908,95602796543.47356
411004,2020,3,49082232,94100767700.43585
302016,2020,3,34723808,78104750484.0607
110006,2020,3,27731187,53768475790.81149
462008,2020,3,18608188,42836925858.3958
800001,2020,3,14656027,41210183921.21666
700009,2020,3,14161961,35897930520.847115
751001,2020,3,11770940,27337331950.38349
110001,2020,3,11598940,25361403335.98009
500001,2020,4,63797806,154104662898.10648
560001,2020,4,56310863,93518053649.26508
411004,2020,4,48628369,83733590846.60262
302016,2020,4,31028451,71599277148.69725
110006,2020,4,24969702,48831647275.471146
462008,2020,4,20637374,44520942803.43778
800001,2020,4,14983099,39976507362.54611
600003,2020,4,11690163,26114457256.846283
751001,2020,4,11637193,26523469788.723434
700009,2020,4,11305243,28555964654.22016
560001,2021,1,111898471,154275126291.57785
500001,2021,1,107274281,218270126529.36053
411004,2021,1,99287169,142692099313.18896
302016,2021,1,65639307,124138636281.23145
110006,2021,1,46104924,76683904356.11441
462008,2021,1,45920869,76097617508.03972
800001,2021,1,30937663,68071234953.67711
600003,2021,1,25512152,44939868773.04714
400070,2021,1,25090098,39416189451.46673
751001,2021,1,24151383,44482729136.236565
500001,2021,2,148864777,315432046413.6635
560001,2021,2,123224371,183498284704.3348
411004,2021,2,120795663,186134320440.93646
302016,2021,2,81782827,152295120262.96942
462008,2021,2,57596018,101902493881.58667
110006,2021,2,54888173,88849307061.74399
800001,2021,2,42836603,91781680811.21812
600003,2021,2,31694305,54282023022.639435
751001,2021,2,30961581,53565783087.01067
700009,2021,2,30775525,59587220231.94326
500001,2021,3,173430239,335290201877.6652
560001,2021,3,171396431,241306340924.00638
411004,2021,3,155523883,217400690972.0777
302016,2021,3,108659324,179936124302.00922
110006,2021,3,77515502,117511789786.64261
462008,2021,3,74987334,111259178579.96481
800001,2021,3,49086869,90644799090.27641
444510,2021,3,45378525,84950919432.04364
600003,2021,3,42982007,71274098295.90457
751001,2021,3,41875475,65849220632.325775
500001,2021,4,213053128,398798138080.5086
560001,2021,4,206723470,283864051273.69073
411004,2021,4,185423020,259406175394.85846
302016,2021,4,130544931,225546213678.03116
462008,2021,4,97987017,145639258182.99155
110006,2021,4,96850347,152021116180.99402
800001,2021,4,61784983,113485175570.40105
444510,2021,4,55162139,103212697006.96257
600003,2021,4,54054310,83084090738.55415
751001,2021,4,52532360,79093274940.53792
500001,2022,1,248675599,460948755722.1826
560001,2022,1,224793308,308663371704.65454
411004,2022,1,209101358,285005833904.6318
302016,2022,1,148956604,248958961898.95383
462008,2022,1,119378084,172143368941.8931
110006,2022,1,112708284,170854549748.09644
444510,2022,1,69862188,129741278088.80704
800001,2022,1,68427326,126972470461.14954
600003,2022,1,62446149,95888452779.63263
751001,2022,1,58525215,91210203433.81744
500001,2022,2,296874552,536659038240.45605
560001,2022,2,271515853,367011500113.69904
411004,2022,2,262731186,356436998068.0399
302016,2022,2,181570316,290408785688.9401
110006,2022,2,139136098,200269818218.75818
462008,2022,2,137837715,198147341166.69937
444510,2022,2,93575752,168031360482.06287
800001,2022,2,90260337,162195041186.36075
600003,2022,2,75241472,108938946466.4329
751001,2022,2,69262961,101369063330.80547
500034,2022,3,832279716,1276247184385.9084
110006,2022,3,222465526,294132832922.7636
302012,2022,3,220682742,322546632329.7969
411033,2022,3,217102802,241609848561.36987
480001,2022,3,164538285,229267141662.06653
560027,2022,3,160449902,217879670192.8064
800001,2022,3,143978604,226644911906.22284
400070,2022,3,137051260,170363147506.6858
751001,2022,3,123281915,161654599037.78528
700039,2022,3,82900479,153815755896.1881
500034,2022,4,967508435,1501499856273.482
560027,2022,4,290033166,383980424744.5664
411033,2022,4,263248580,298971294541.89966
110006,2022,4,258183697,349487194869.16797
302012,2022,4,255709582,401447081116.4074
480001,2022,4,240053791,341860974379.64307
400070,2022,4,180508440,226320223720.0673
800001,2022,4,167166031,269652534972.60126
751001,2022,4,140210762,184650659638.9054
700039,2022,4,119193886,219834107643.85355
500072,2023,1,48884911,69139644856.0
560068,2023,1,48544078,49093973079.0
560037,2023,1,36487467,39147776972.0
201301,2023,1,34429152,30542090341.0
560076,2023,1,31427375,31972479780.0
500081,2023,1,31374325,36780272643.0
560078,2023,1,30074920,33530112337.0
500032,2023,1,28718299,32875192612.0
560100,2023,1,27670041,26852310085.0
560043,2023,1,27613832,31447437376.0
500072,2023,2,58118143,80065833852.0
560068,2023,2,54020876,54852308815.0
560037,2023,2,41049027,45095955882.0
201301,2023,2,40364243,33059188347.0
500081,2023,2,37375003,43237645304.0
500032,2023,2,34638820,39216208745.0
560076,2023,2,34380780,35810435341.0
560078,2023,2,33172774,37560041959.0
560100,2023,2,31610913,30713650869.0
411057,2023,2,30991776,24785623038.0
500072,2023,3,65847402,88142226984.0
560068,2023,3,62632584,61263877641.0
560037,2023,3,45865518,49216757881.0
201301,2023,3,45155149,35368082651.0
500081,2023,3,41403377,46841816235.0
560076,2023,3,39572187,39693662048.0
560078,2023,3,38275825,41125711463.0
500032,2023,3,37909563,43121138159.0
560100,2023,3,36711660,34628577402.0
411057,2023,3,35730539,28470754620.0
500072,2023,4,69292728,91284974730.0
560068,2023,4,63713816,62360639499.0
201301,2023,4,47085837,38136753615.0
560037,2023,4,43844472,47520783905.0
500081,2023,4,41757627,48496303521.0
560076,2023,4,40062218,40406677455.0
560078,2023,4,39399547,42452583912.0
500032,2023,4,38490289,44458212241.0
410501,2023,4,37823604,30451717116.0
560100,2023,4,37641570,35551238822.0
500072,2024,1,69094126,88039295927.0
560068,2024,1,65916906,63058218288.0
201301,2024,1,52120222,40796556514.0
560037,2024,1,44437042,46789563898.0
410501,2024,1,43473832,33452714100.0
500081,2024,1,43128414,49113797461.0
560076,2024,1,40863256,40420178638.0
560078,2024,1,40535894,42657750513.0
411057,2024,1,40434976,31533887646.0
500032,2024,1,40014033,45087861514.0
500072,2024,2,76230583,93277825439.0
560068,2024,2,69364986,66289367831.0
201301,2024,2,62464983,44004838882.0
500081,2024,2,47745271,52611737092.0
410501,2024,2,46907334,34713255109.0
560037,2024,2,46776034,48880395601.0
500032,2024,2,43718050,47723230498.0
560076,2024,2,42881778,42679317598.0
560078,2024,2,42529166,45410228491.0
411057,2024,2,42406480,32822122569.0
500072,2024,3,92129066,108183377419.0
201301,2024,3,68967992,49390127364.0
500081,2024,3,64860408,70783617503.0
560068,2024,3,63337647,60042061003.0
560100,2024,3,57890073,54596825856.0
452001,2024,3,54979662,48977311740.0
410501,2024,3,51594896,38484342016.0
560037,2024,3,50010832,51995620737.0
411057,2024,3,46700269,37628700658.0
560066,2024,3,44823424,45681565757.0
500072,2024,4,97079697,111354370899.0
201301,2024,4,71597704,52354483878.0
500081,2024,4,67246969,72596118114.0
560068,2024,4,63798364,60719442481.0
560100,2024,4,58873952,55139541256.0
452001,2024,4,58325781,52789642819.0
410501,2024,4,55813356,42271781255.0
411057,2024,4,48685493,38546349566.0
560037,2024,4,48507070,50370682932.0
560066,2024,4,44494164,45074223595.0
